# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|non_boss_ignore_occupancy_mega_ids=[5]|rng_seed=20260416
SPAWN|index=119|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-16,0,-4)|yaw_deg=251.461|rot=(0.000000,0.811775,0.000000,-0.583970)|rule=zero_cell_in_center_200x200
SPAWN|index=120|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(5,0,70)|yaw_deg=260.954|rot=(0.000000,0.760667,0.000000,-0.649142)|rule=zero_cell_in_center_200x200
SPAWN|index=121|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-60,0,-88)|yaw_deg=276.137|rot=(0.000000,0.668241,0.000000,-0.743945)|rule=zero_cell_in_center_200x200
SPAWN|index=122|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-92,0,-59)|yaw_deg=241.492|rot=(0.000000,0.859443,0.000000,-0.511232)|rule=zero_cell_in_center_200x200
SPAWN|index=123|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-23,0,48)|yaw_deg=277.271|rot=(0.000000,0.660846,0.000000,-0.750522)|rule=zero_cell_in_center_200x200
SPAWN|index=124|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(74,0,6)|yaw_deg=301.448|rot=(0.000000,0.489021,0.000000,-0.872272)|rule=zero_cell_in_center_200x200
SPAWN|index=125|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-47,0,-67)|yaw_deg=59.846|rot=(0.000000,0.498835,0.000000,0.866697)|rule=zero_cell_in_center_200x200
SPAWN|index=126|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(75,0,30)|yaw_deg=253.232|rot=(0.000000,0.802650,0.000000,-0.596450)|rule=zero_cell_in_center_200x200
SPAWN|index=127|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(31,0,15)|yaw_deg=286.632|rot=(0.000000,0.597398,0.000000,-0.801945)|rule=zero_cell_in_center_200x200
SPAWN|index=128|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(92,0,-76)|yaw_deg=12.925|rot=(0.000000,0.112554,0.000000,0.993646)|rule=zero_cell_in_center_200x200
SPAWN|index=129|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(17,0,-15)|yaw_deg=220.894|rot=(0.000000,0.936996,0.000000,-0.349341)|rule=zero_cell_in_center_200x200
SPAWN|index=130|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(69,0,61)|yaw_deg=308.506|rot=(0.000000,0.434395,0.000000,-0.900723)|rule=zero_cell_in_center_200x200
SPAWN|index=131|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(22,0,55)|yaw_deg=213.428|rot=(0.000000,0.957752,0.000000,-0.287597)|rule=zero_cell_in_center_200x200
SPAWN|index=132|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-71,0,68)|yaw_deg=47.386|rot=(0.000000,0.401838,0.000000,0.915711)|rule=zero_cell_in_center_200x200
SPAWN|index=133|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(68,0,-75)|yaw_deg=53.596|rot=(0.000000,0.450848,0.000000,0.892601)|rule=zero_cell_in_center_200x200
SPAWN|index=134|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(73,0,-99)|yaw_deg=350.113|rot=(0.000000,0.086172,0.000000,-0.996280)|rule=zero_cell_in_center_200x200
SPAWN|index=135|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-66,0,27)|yaw_deg=39.488|rot=(0.000000,0.337818,0.000000,0.941212)|rule=zero_cell_in_center_200x200
SPAWN|index=136|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(16,0,57)|yaw_deg=48.823|rot=(0.000000,0.413285,0.000000,0.910602)|rule=zero_cell_in_center_200x200
SPAWN|index=137|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(82,0,-70)|yaw_deg=272.755|rot=(0.000000,0.689906,0.000000,-0.723899)|rule=zero_cell_in_center_200x200
SPAWN|index=138|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-76,0,54)|yaw_deg=211.576|rot=(0.000000,0.962274,0.000000,-0.272082)|rule=zero_cell_in_center_200x200
SPAWN|index=139|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(56,0,12)|yaw_deg=180.113|rot=(0.000000,1.000000,0.000000,-0.000990)|rule=zero_cell_in_center_200x200
SPAWN|index=140|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(22,0,-71)|yaw_deg=7.190|rot=(0.000000,0.062703,0.000000,0.998032)|rule=zero_cell_in_center_200x200
SPAWN|index=141|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-68,0,71)|yaw_deg=78.222|rot=(0.000000,0.630823,0.000000,0.775927)|rule=zero_cell_in_center_200x200
SPAWN|index=142|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-11,0,19)|yaw_deg=18.065|rot=(0.000000,0.156996,0.000000,0.987599)|rule=zero_cell_in_center_200x200
SPAWN|index=143|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(42,0,-15)|yaw_deg=84.676|rot=(0.000000,0.673505,0.000000,0.739183)|rule=zero_cell_in_center_200x200
SPAWN|index=144|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-53,0,-77)|yaw_deg=354.437|rot=(0.000000,0.048530,0.000000,-0.998822)|rule=zero_cell_in_center_200x200
SPAWN|index=145|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-7,0,36)|yaw_deg=307.194|rot=(0.000000,0.444683,0.000000,-0.895688)|rule=zero_cell_in_center_200x200
SPAWN|index=146|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-70,0,-30)|yaw_deg=53.577|rot=(0.000000,0.450696,0.000000,0.892677)|rule=zero_cell_in_center_200x200
SPAWN|index=147|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-35,0,32)|yaw_deg=29.575|rot=(0.000000,0.255233,0.000000,0.966880)|rule=zero_cell_in_center_200x200
SPAWN|index=148|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-81,0,53)|yaw_deg=39.638|rot=(0.000000,0.339052,0.000000,0.940768)|rule=zero_cell_in_center_200x200
SPAWN|index=149|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-37,0,69)|yaw_deg=76.859|rot=(0.000000,0.621551,0.000000,0.783374)|rule=zero_cell_in_center_200x200
SPAWN|index=150|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(4,0,71)|yaw_deg=179.443|rot=(0.000000,0.999988,0.000000,0.004860)|rule=zero_cell_in_center_200x200
SPAWN|index=151|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-96,0,-19)|yaw_deg=30.529|rot=(0.000000,0.263279,0.000000,0.964720)|rule=zero_cell_in_center_200x200
SPAWN|index=152|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(0,0,91)|yaw_deg=294.707|rot=(0.000000,0.539456,0.000000,-0.842014)|rule=zero_cell_in_center_200x200
SPAWN|index=153|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-12,0,37)|yaw_deg=157.179|rot=(0.000000,0.980234,0.000000,0.197840)|rule=zero_cell_in_center_200x200
SPAWN|index=154|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-50,0,-67)|yaw_deg=180.673|rot=(0.000000,0.999983,0.000000,-0.005874)|rule=zero_cell_in_center_200x200
SPAWN|index=155|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-97,0,-65)|yaw_deg=187.207|rot=(0.000000,0.998023,0.000000,-0.062848)|rule=zero_cell_in_center_200x200
SPAWN|index=156|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-52,0,-88)|yaw_deg=18.589|rot=(0.000000,0.161505,0.000000,0.986872)|rule=zero_cell_in_center_200x200
SPAWN|index=157|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-44,0,97)|yaw_deg=191.152|rot=(0.000000,0.995268,0.000000,-0.097163)|rule=zero_cell_in_center_200x200
SPAWN|index=158|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(65,0,43)|yaw_deg=104.543|rot=(0.000000,0.790918,0.000000,0.611922)|rule=zero_cell_in_center_200x200
SPAWN|index=159|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-89,0,23)|yaw_deg=95.934|rot=(0.000000,0.742760,0.000000,0.669558)|rule=zero_cell_in_center_200x200
SPAWN|index=160|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-64,0,95)|yaw_deg=284.326|rot=(0.000000,0.613419,0.000000,-0.789758)|rule=zero_cell_in_center_200x200
SPAWN|index=161|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-91,0,-63)|yaw_deg=93.547|rot=(0.000000,0.728651,0.000000,0.684885)|rule=zero_cell_in_center_200x200
SPAWN|index=162|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(47,0,-18)|yaw_deg=199.333|rot=(0.000000,0.985802,0.000000,-0.167911)|rule=zero_cell_in_center_200x200
SPAWN|index=163|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-75,0,-35)|yaw_deg=15.688|rot=(0.000000,0.136473,0.000000,0.990644)|rule=zero_cell_in_center_200x200
SPAWN|index=164|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-17,0,-29)|yaw_deg=228.626|rot=(0.000000,0.911311,0.000000,-0.411719)|rule=zero_cell_in_center_200x200
SPAWN|index=165|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(95,0,67)|yaw_deg=240.365|rot=(0.000000,0.864427,0.000000,-0.502758)|rule=zero_cell_in_center_200x200
SPAWN|index=166|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-64,0,39)|yaw_deg=32.373|rot=(0.000000,0.278765,0.000000,0.960359)|rule=zero_cell_in_center_200x200
SPAWN|index=167|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(65,0,-43)|yaw_deg=188.662|rot=(0.000000,0.997144,0.000000,-0.075518)|rule=zero_cell_in_center_200x200
SPAWN|index=168|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(38,0,-24)|yaw_deg=356.514|rot=(0.000000,0.030421,0.000000,-0.999537)|rule=zero_cell_in_center_200x200
SPAWN|index=169|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(55,0,17)|yaw_deg=7.473|rot=(0.000000,0.065171,0.000000,0.997874)|rule=zero_cell_in_center_200x200
SPAWN|index=170|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(65,0,97)|yaw_deg=354.661|rot=(0.000000,0.046575,0.000000,-0.998915)|rule=zero_cell_in_center_200x200
SPAWN|index=171|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-23,0,-43)|yaw_deg=11.653|rot=(0.000000,0.101520,0.000000,0.994834)|rule=zero_cell_in_center_200x200
SPAWN|index=172|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-93,0,11)|yaw_deg=313.485|rot=(0.000000,0.394860,0.000000,-0.918741)|rule=zero_cell_in_center_200x200
SPAWN|index=173|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(98,0,78)|yaw_deg=200.483|rot=(0.000000,0.984067,0.000000,-0.177798)|rule=zero_cell_in_center_200x200
SPAWN|index=174|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-57,0,33)|yaw_deg=138.798|rot=(0.000000,0.936054,0.000000,0.351856)|rule=zero_cell_in_center_200x200
SPAWN|index=175|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(47,0,-25)|yaw_deg=331.236|rot=(0.000000,0.248388,0.000000,-0.968661)|rule=zero_cell_in_center_200x200
SPAWN|index=176|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(31,0,-60)|yaw_deg=174.675|rot=(0.000000,0.998920,0.000000,0.046453)|rule=zero_cell_in_center_200x200
SPAWN|index=177|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-11,0,25)|yaw_deg=250.638|rot=(0.000000,0.815945,0.000000,-0.578130)|rule=zero_cell_in_center_200x200
SPAWN|index=178|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(80,0,-75)|yaw_deg=240.329|rot=(0.000000,0.864586,0.000000,-0.502484)|rule=zero_cell_in_center_200x200
SPAWN|index=179|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(1,0,-39)|yaw_deg=221.687|rot=(0.000000,0.934557,0.000000,-0.355814)|rule=zero_cell_in_center_200x200
SPAWN|index=180|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(67,0,-32)|yaw_deg=135.548|rot=(0.000000,0.925699,0.000000,0.378260)|rule=zero_cell_in_center_200x200
SPAWN|index=181|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-62,0,30)|yaw_deg=154.174|rot=(0.000000,0.974710,0.000000,0.223472)|rule=zero_cell_in_center_200x200
SPAWN|index=182|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-16,0,77)|yaw_deg=353.844|rot=(0.000000,0.053700,0.000000,-0.998557)|rule=zero_cell_in_center_200x200
SPAWN|index=183|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(42,0,82)|yaw_deg=145.192|rot=(0.000000,0.954219,0.000000,0.299108)|rule=zero_cell_in_center_200x200
SPAWN|index=184|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(98,0,-16)|yaw_deg=44.392|rot=(0.000000,0.377777,0.000000,0.925897)|rule=zero_cell_in_center_200x200
SPAWN|index=185|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-50,0,72)|yaw_deg=285.479|rot=(0.000000,0.605439,0.000000,-0.795891)|rule=zero_cell_in_center_200x200
SPAWN|index=186|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-86,0,26)|yaw_deg=12.790|rot=(0.000000,0.111386,0.000000,0.993777)|rule=zero_cell_in_center_200x200
SPAWN|index=187|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-76,0,-72)|yaw_deg=24.340|rot=(0.000000,0.210811,0.000000,0.977527)|rule=zero_cell_in_center_200x200
SPAWN|index=188|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-69,0,25)|yaw_deg=102.770|rot=(0.000000,0.781356,0.000000,0.624085)|rule=zero_cell_in_center_200x200
SPAWN|index=189|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-40,0,68)|yaw_deg=85.751|rot=(0.000000,0.680409,0.000000,0.732832)|rule=zero_cell_in_center_200x200
SPAWN|index=190|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-36,0,10)|yaw_deg=134.154|rot=(0.000000,0.921028,0.000000,0.389496)|rule=zero_cell_in_center_200x200
SPAWN|index=191|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-56,0,93)|yaw_deg=193.434|rot=(0.000000,0.993136,0.000000,-0.116969)|rule=zero_cell_in_center_200x200
SPAWN|index=192|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-73,0,53)|yaw_deg=123.776|rot=(0.000000,0.882027,0.000000,0.471198)|rule=zero_cell_in_center_200x200
SPAWN|index=193|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-41,0,-19)|yaw_deg=277.105|rot=(0.000000,0.661931,0.000000,-0.749565)|rule=zero_cell_in_center_200x200
SPAWN|index=194|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(0,0,-62)|yaw_deg=230.395|rot=(0.000000,0.904846,0.000000,-0.425738)|rule=zero_cell_in_center_200x200
SPAWN|index=195|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-72,0,-43)|yaw_deg=298.360|rot=(0.000000,0.512340,0.000000,-0.858783)|rule=zero_cell_in_center_200x200
SPAWN|index=196|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(68,0,-74)|yaw_deg=113.531|rot=(0.000000,0.836432,0.000000,0.548070)|rule=zero_cell_in_center_200x200
SPAWN|index=197|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-64,0,22)|yaw_deg=0.016|rot=(0.000000,0.000139,0.000000,1.000000)|rule=zero_cell_in_center_200x200
SPAWN|index=198|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-67,0,-26)|yaw_deg=211.162|rot=(0.000000,0.963251,0.000000,-0.268604)|rule=zero_cell_in_center_200x200
SPAWN|index=199|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-10,0,56)|yaw_deg=6.348|rot=(0.000000,0.055365,0.000000,0.998466)|rule=zero_cell_in_center_200x200
SPAWN|index=200|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(386,0,37)|yaw_deg=151.666|rot=(0.000000,0.969586,0.000000,0.244750)|rule=zero_cell_in_center_200x200
SPAWN|index=201|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(422,0,-63)|yaw_deg=40.016|rot=(0.000000,0.342148,0.000000,0.939646)|rule=zero_cell_in_center_200x200
SPAWN|index=202|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(311,0,-96)|yaw_deg=114.654|rot=(0.000000,0.841767,0.000000,0.539841)|rule=zero_cell_in_center_200x200
SPAWN|index=203|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(446,0,72)|yaw_deg=154.456|rot=(0.000000,0.975258,0.000000,0.221070)|rule=zero_cell_in_center_200x200
SPAWN|index=204|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(323,0,24)|yaw_deg=166.787|rot=(0.000000,0.993360,0.000000,0.115047)|rule=zero_cell_in_center_200x200
SPAWN|index=205|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(468,0,97)|yaw_deg=153.900|rot=(0.000000,0.974173,0.000000,0.225801)|rule=zero_cell_in_center_200x200
SPAWN|index=206|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(422,0,-91)|yaw_deg=323.276|rot=(0.000000,0.315022,0.000000,-0.949084)|rule=zero_cell_in_center_200x200
SPAWN|index=207|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(317,0,64)|yaw_deg=154.337|rot=(0.000000,0.975028,0.000000,0.222083)|rule=zero_cell_in_center_200x200
SPAWN|index=208|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(426,0,13)|yaw_deg=58.268|rot=(0.000000,0.486853,0.000000,0.873484)|rule=zero_cell_in_center_200x200
SPAWN|index=209|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(444,0,13)|yaw_deg=249.213|rot=(0.000000,0.823073,0.000000,-0.567936)|rule=zero_cell_in_center_200x200
SPAWN|index=210|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(413,0,66)|yaw_deg=139.163|rot=(0.000000,0.937170,0.000000,0.348873)|rule=zero_cell_in_center_200x200
SPAWN|index=211|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(456,0,-82)|yaw_deg=138.898|rot=(0.000000,0.936361,0.000000,0.351038)|rule=zero_cell_in_center_200x200
SPAWN|index=212|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(326,0,53)|yaw_deg=63.072|rot=(0.000000,0.523034,0.000000,0.852312)|rule=zero_cell_in_center_200x200
SPAWN|index=213|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(492,0,-18)|yaw_deg=74.164|rot=(0.000000,0.602955,0.000000,0.797776)|rule=zero_cell_in_center_200x200
SPAWN|index=214|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(357,0,84)|yaw_deg=255.390|rot=(0.000000,0.791277,0.000000,-0.611457)|rule=zero_cell_in_center_200x200
SPAWN|index=215|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(432,0,-61)|yaw_deg=192.490|rot=(0.000000,0.994066,0.000000,-0.108782)|rule=zero_cell_in_center_200x200
SPAWN|index=216|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(408,0,-66)|yaw_deg=270.090|rot=(0.000000,0.706553,0.000000,-0.707661)|rule=zero_cell_in_center_200x200
SPAWN|index=217|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(442,0,-94)|yaw_deg=335.420|rot=(0.000000,0.212858,0.000000,-0.977083)|rule=zero_cell_in_center_200x200
SPAWN|index=218|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(416,0,49)|yaw_deg=140.639|rot=(0.000000,0.941584,0.000000,0.336779)|rule=zero_cell_in_center_200x200
SPAWN|index=219|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(422,0,88)|yaw_deg=160.687|rot=(0.000000,0.985831,0.000000,0.167741)|rule=zero_cell_in_center_200x200
SPAWN|index=220|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(464,0,-46)|yaw_deg=131.719|rot=(0.000000,0.912546,0.000000,0.408975)|rule=zero_cell_in_center_200x200
SPAWN|index=221|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(346,0,-1)|yaw_deg=275.888|rot=(0.000000,0.669858,0.000000,-0.742489)|rule=zero_cell_in_center_200x200
SPAWN|index=222|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(389,0,74)|yaw_deg=202.790|rot=(0.000000,0.980289,0.000000,-0.197569)|rule=zero_cell_in_center_200x200
SPAWN|index=223|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(335,0,-26)|yaw_deg=62.993|rot=(0.000000,0.522446,0.000000,0.852673)|rule=zero_cell_in_center_200x200
SPAWN|index=224|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(386,0,31)|yaw_deg=186.429|rot=(0.000000,0.998427,0.000000,-0.056074)|rule=zero_cell_in_center_200x200
SPAWN|index=225|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(397,0,-91)|yaw_deg=262.315|rot=(0.000000,0.752905,0.000000,-0.658129)|rule=zero_cell_in_center_200x200
SPAWN|index=226|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(358,0,-4)|yaw_deg=274.791|rot=(0.000000,0.676936,0.000000,-0.736042)|rule=zero_cell_in_center_200x200
SPAWN|index=227|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(373,0,76)|yaw_deg=105.048|rot=(0.000000,0.793611,0.000000,0.608426)|rule=zero_cell_in_center_200x200
SPAWN|index=228|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(463,0,-41)|yaw_deg=349.226|rot=(0.000000,0.093886,0.000000,-0.995583)|rule=zero_cell_in_center_200x200
SPAWN|index=229|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(498,0,-76)|yaw_deg=34.626|rot=(0.000000,0.297595,0.000000,0.954692)|rule=zero_cell_in_center_200x200
SPAWN|index=230|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(397,0,-4)|yaw_deg=176.977|rot=(0.000000,0.999652,0.000000,0.026379)|rule=zero_cell_in_center_200x200
SPAWN|index=231|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(441,0,-17)|yaw_deg=20.959|rot=(0.000000,0.181886,0.000000,0.983320)|rule=zero_cell_in_center_200x200
SPAWN|index=232|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(354,0,67)|yaw_deg=309.786|rot=(0.000000,0.424306,0.000000,-0.905519)|rule=zero_cell_in_center_200x200
SPAWN|index=233|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(467,0,15)|yaw_deg=346.403|rot=(0.000000,0.118378,0.000000,-0.992969)|rule=zero_cell_in_center_200x200
SPAWN|index=234|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(331,0,95)|yaw_deg=178.981|rot=(0.000000,0.999960,0.000000,0.008895)|rule=zero_cell_in_center_200x200
SPAWN|index=235|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(327,0,78)|yaw_deg=95.794|rot=(0.000000,0.741940,0.000000,0.670466)|rule=zero_cell_in_center_200x200
SPAWN|index=236|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(350,0,-96)|yaw_deg=115.712|rot=(0.000000,0.846714,0.000000,0.532049)|rule=zero_cell_in_center_200x200
SPAWN|index=237|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(306,0,-19)|yaw_deg=82.987|rot=(0.000000,0.662534,0.000000,0.749032)|rule=zero_cell_in_center_200x200
SPAWN|index=238|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(432,0,-40)|yaw_deg=197.070|rot=(0.000000,0.988925,0.000000,-0.148414)|rule=zero_cell_in_center_200x200
SPAWN|index=239|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(310,0,25)|yaw_deg=259.468|rot=(0.000000,0.769022,0.000000,-0.639223)|rule=zero_cell_in_center_200x200
SPAWN|index=240|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(455,0,-49)|yaw_deg=326.957|rot=(0.000000,0.284373,0.000000,-0.958714)|rule=zero_cell_in_center_200x200
SPAWN|index=241|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(384,0,30)|yaw_deg=209.720|rot=(0.000000,0.966555,0.000000,-0.256460)|rule=zero_cell_in_center_200x200
SPAWN|index=242|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(488,0,-9)|yaw_deg=132.990|rot=(0.000000,0.917024,0.000000,0.398833)|rule=zero_cell_in_center_200x200
SPAWN|index=243|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(398,0,66)|yaw_deg=265.330|rot=(0.000000,0.735331,0.000000,-0.677708)|rule=zero_cell_in_center_200x200
SPAWN|index=244|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(390,0,25)|yaw_deg=348.452|rot=(0.000000,0.100607,0.000000,-0.994926)|rule=zero_cell_in_center_200x200
SPAWN|index=245|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(308,0,97)|yaw_deg=170.219|rot=(0.000000,0.996359,0.000000,0.085253)|rule=zero_cell_in_center_200x200
SPAWN|index=246|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(326,0,-97)|yaw_deg=343.460|rot=(0.000000,0.143834,0.000000,-0.989602)|rule=zero_cell_in_center_200x200
SPAWN|index=247|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(330,0,69)|yaw_deg=73.986|rot=(0.000000,0.601718,0.000000,0.798709)|rule=zero_cell_in_center_200x200
SPAWN|index=248|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(472,0,97)|yaw_deg=256.246|rot=(0.000000,0.786688,0.000000,-0.617351)|rule=zero_cell_in_center_200x200
SPAWN|index=249|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(333,0,-2)|yaw_deg=118.830|rot=(0.000000,0.860876,0.000000,0.508814)|rule=zero_cell_in_center_200x200
SPAWN|index=250|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(471,0,58)|yaw_deg=214.741|rot=(0.000000,0.954395,0.000000,-0.298548)|rule=zero_cell_in_center_200x200
SPAWN|index=251|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(422,0,-92)|yaw_deg=276.825|rot=(0.000000,0.663763,0.000000,-0.747943)|rule=zero_cell_in_center_200x200
SPAWN|index=252|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(355,0,6)|yaw_deg=300.925|rot=(0.000000,0.492996,0.000000,-0.870032)|rule=zero_cell_in_center_200x200
SPAWN|index=253|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(488,0,-72)|yaw_deg=193.245|rot=(0.000000,0.993327,0.000000,-0.115329)|rule=zero_cell_in_center_200x200
SPAWN|index=254|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(358,0,4)|yaw_deg=150.608|rot=(0.000000,0.967284,0.000000,0.253695)|rule=zero_cell_in_center_200x200
SPAWN|index=255|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(404,0,68)|yaw_deg=334.056|rot=(0.000000,0.224471,0.000000,-0.974481)|rule=zero_cell_in_center_200x200
