# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|rng_seed=20260416
SPAWN|index=124|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(347,0,72)|yaw_deg=26.118|rot=(0.000000,0.225957,0.000000,0.974137)|rule=zero_cell_in_center_200x200
SPAWN|index=125|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(419,0,18)|yaw_deg=301.875|rot=(0.000000,0.485765,0.000000,-0.874089)|rule=zero_cell_in_center_200x200
SPAWN|index=126|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(483,0,4)|yaw_deg=109.039|rot=(0.000000,0.814315,0.000000,0.580424)|rule=zero_cell_in_center_200x200
SPAWN|index=127|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(489,0,-99)|yaw_deg=320.354|rot=(0.000000,0.339115,0.000000,-0.940745)|rule=zero_cell_in_center_200x200
SPAWN|index=128|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(414,0,21)|yaw_deg=60.310|rot=(0.000000,0.502341,0.000000,0.864669)|rule=zero_cell_in_center_200x200
SPAWN|index=129|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(494,0,-28)|yaw_deg=69.444|rot=(0.000000,0.569593,0.000000,0.821927)|rule=zero_cell_in_center_200x200
SPAWN|index=130|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(377,0,27)|yaw_deg=221.530|rot=(0.000000,0.935044,0.000000,-0.354533)|rule=zero_cell_in_center_200x200
SPAWN|index=131|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(344,0,8)|yaw_deg=283.580|rot=(0.000000,0.618543,0.000000,-0.785751)|rule=zero_cell_in_center_200x200
SPAWN|index=132|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(471,0,10)|yaw_deg=356.572|rot=(0.000000,0.029908,0.000000,-0.999553)|rule=zero_cell_in_center_200x200
SPAWN|index=133|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(330,0,-42)|yaw_deg=231.108|rot=(0.000000,0.902179,0.000000,-0.431363)|rule=zero_cell_in_center_200x200
SPAWN|index=134|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(445,0,-29)|yaw_deg=292.388|rot=(0.000000,0.556382,0.000000,-0.830926)|rule=zero_cell_in_center_200x200
SPAWN|index=135|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(358,0,38)|yaw_deg=71.177|rot=(0.000000,0.581960,0.000000,0.813217)|rule=zero_cell_in_center_200x200
SPAWN|index=136|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(421,0,53)|yaw_deg=242.790|rot=(0.000000,0.853597,0.000000,-0.520934)|rule=zero_cell_in_center_200x200
SPAWN|index=137|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(381,0,96)|yaw_deg=234.142|rot=(0.000000,0.890443,0.000000,-0.455095)|rule=zero_cell_in_center_200x200
SPAWN|index=138|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(383,0,-39)|yaw_deg=112.818|rot=(0.000000,0.833010,0.000000,0.553258)|rule=zero_cell_in_center_200x200
SPAWN|index=139|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(362,0,-57)|yaw_deg=188.943|rot=(0.000000,0.996957,0.000000,-0.077959)|rule=zero_cell_in_center_200x200
SPAWN|index=140|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(465,0,-59)|yaw_deg=280.015|rot=(0.000000,0.642689,0.000000,-0.766127)|rule=zero_cell_in_center_200x200
SPAWN|index=141|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(388,0,48)|yaw_deg=251.353|rot=(0.000000,0.812321,0.000000,-0.583211)|rule=zero_cell_in_center_200x200
SPAWN|index=142|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(413,0,-42)|yaw_deg=260.839|rot=(0.000000,0.761319,0.000000,-0.648378)|rule=zero_cell_in_center_200x200
SPAWN|index=143|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(420,0,28)|yaw_deg=286.399|rot=(0.000000,0.599029,0.000000,-0.800728)|rule=zero_cell_in_center_200x200
SPAWN|index=144|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(455,0,-35)|yaw_deg=136.731|rot=(0.000000,0.929554,0.000000,0.368687)|rule=zero_cell_in_center_200x200
SPAWN|index=145|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(368,0,1)|yaw_deg=356.533|rot=(0.000000,0.030247,0.000000,-0.999542)|rule=zero_cell_in_center_200x200
SPAWN|index=146|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(403,0,88)|yaw_deg=341.974|rot=(0.000000,0.156656,0.000000,-0.987653)|rule=zero_cell_in_center_200x200
SPAWN|index=147|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(371,0,-62)|yaw_deg=193.304|rot=(0.000000,0.993268,0.000000,-0.115840)|rule=zero_cell_in_center_200x200
SPAWN|index=148|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(384,0,84)|yaw_deg=72.488|rot=(0.000000,0.591226,0.000000,0.806506)|rule=zero_cell_in_center_200x200
SPAWN|index=149|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(324,0,93)|yaw_deg=157.835|rot=(0.000000,0.981351,0.000000,0.192223)|rule=zero_cell_in_center_200x200
SPAWN|index=150|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(340,0,-74)|yaw_deg=278.956|rot=(0.000000,0.649741,0.000000,-0.760156)|rule=zero_cell_in_center_200x200
SPAWN|index=151|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(489,0,-23)|yaw_deg=236.045|rot=(0.000000,0.882763,0.000000,-0.469818)|rule=zero_cell_in_center_200x200
SPAWN|index=152|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(414,0,19)|yaw_deg=5.505|rot=(0.000000,0.048024,0.000000,0.998846)|rule=zero_cell_in_center_200x200
SPAWN|index=153|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(357,0,-10)|yaw_deg=261.953|rot=(0.000000,0.754980,0.000000,-0.655748)|rule=zero_cell_in_center_200x200
SPAWN|index=154|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(367,0,97)|yaw_deg=340.367|rot=(0.000000,0.170494,0.000000,-0.985359)|rule=zero_cell_in_center_200x200
SPAWN|index=155|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(486,0,98)|yaw_deg=244.933|rot=(0.000000,0.843707,0.000000,-0.536805)|rule=zero_cell_in_center_200x200
SPAWN|index=156|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(366,0,-49)|yaw_deg=355.883|rot=(0.000000,0.035919,0.000000,-0.999355)|rule=zero_cell_in_center_200x200
SPAWN|index=157|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(374,0,19)|yaw_deg=146.151|rot=(0.000000,0.956688,0.000000,0.291115)|rule=zero_cell_in_center_200x200
SPAWN|index=158|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(393,0,33)|yaw_deg=172.270|rot=(0.000000,0.997726,0.000000,0.067403)|rule=zero_cell_in_center_200x200
SPAWN|index=159|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(327,0,81)|yaw_deg=336.816|rot=(0.000000,0.200942,0.000000,-0.979603)|rule=zero_cell_in_center_200x200
SPAWN|index=160|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(469,0,-84)|yaw_deg=10.639|rot=(0.000000,0.092711,0.000000,0.995693)|rule=zero_cell_in_center_200x200
SPAWN|index=161|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(446,0,60)|yaw_deg=257.734|rot=(0.000000,0.778602,0.000000,-0.627518)|rule=zero_cell_in_center_200x200
SPAWN|index=162|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(334,0,36)|yaw_deg=291.486|rot=(0.000000,0.562906,0.000000,-0.826521)|rule=zero_cell_in_center_200x200
SPAWN|index=163|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(389,0,-11)|yaw_deg=267.990|rot=(0.000000,0.719403,0.000000,-0.694593)|rule=zero_cell_in_center_200x200
SPAWN|index=164|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(327,0,70)|yaw_deg=17.557|rot=(0.000000,0.152614,0.000000,0.988286)|rule=zero_cell_in_center_200x200
SPAWN|index=165|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(332,0,-68)|yaw_deg=129.895|rot=(0.000000,0.905919,0.000000,0.423452)|rule=zero_cell_in_center_200x200
SPAWN|index=166|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(367,0,-1)|yaw_deg=121.465|rot=(0.000000,0.872348,0.000000,0.488885)|rule=zero_cell_in_center_200x200
SPAWN|index=167|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(369,0,-67)|yaw_deg=354.287|rot=(0.000000,0.049832,0.000000,-0.998758)|rule=zero_cell_in_center_200x200
SPAWN|index=168|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(449,0,-29)|yaw_deg=79.881|rot=(0.000000,0.641993,0.000000,0.766710)|rule=zero_cell_in_center_200x200
SPAWN|index=169|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(320,0,-97)|yaw_deg=8.996|rot=(0.000000,0.078428,0.000000,0.996920)|rule=zero_cell_in_center_200x200
SPAWN|index=170|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(421,0,71)|yaw_deg=238.521|rot=(0.000000,0.872405,0.000000,-0.488783)|rule=zero_cell_in_center_200x200
SPAWN|index=171|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(324,0,63)|yaw_deg=358.071|rot=(0.000000,0.016834,0.000000,-0.999858)|rule=zero_cell_in_center_200x200
SPAWN|index=172|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(381,0,-59)|yaw_deg=212.983|rot=(0.000000,0.958861,0.000000,-0.283875)|rule=zero_cell_in_center_200x200
SPAWN|index=173|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(466,0,-53)|yaw_deg=334.164|rot=(0.000000,0.223560,0.000000,-0.974690)|rule=zero_cell_in_center_200x200
SPAWN|index=174|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(428,0,87)|yaw_deg=153.876|rot=(0.000000,0.974126,0.000000,0.226004)|rule=zero_cell_in_center_200x200
SPAWN|index=175|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(359,0,62)|yaw_deg=71.159|rot=(0.000000,0.581832,0.000000,0.813309)|rule=zero_cell_in_center_200x200
SPAWN|index=176|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(425,0,35)|yaw_deg=256.278|rot=(0.000000,0.786515,0.000000,-0.617571)|rule=zero_cell_in_center_200x200
SPAWN|index=177|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(350,0,-67)|yaw_deg=286.021|rot=(0.000000,0.601672,0.000000,-0.798743)|rule=zero_cell_in_center_200x200
SPAWN|index=178|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(495,0,60)|yaw_deg=33.434|rot=(0.000000,0.287644,0.000000,0.957737)|rule=zero_cell_in_center_200x200
SPAWN|index=179|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(474,0,-46)|yaw_deg=294.270|rot=(0.000000,0.542665,0.000000,-0.839949)|rule=zero_cell_in_center_200x200
SPAWN|index=180|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(498,0,-1)|yaw_deg=52.892|rot=(0.000000,0.445356,0.000000,0.895354)|rule=zero_cell_in_center_200x200
SPAWN|index=181|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(447,0,-23)|yaw_deg=249.053|rot=(0.000000,0.823866,0.000000,-0.566784)|rule=zero_cell_in_center_200x200
SPAWN|index=182|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(458,0,72)|yaw_deg=167.540|rot=(0.000000,0.994095,0.000000,0.108517)|rule=zero_cell_in_center_200x200
SPAWN|index=183|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(480,0,-47)|yaw_deg=165.074|rot=(0.000000,0.991529,0.000000,0.129888)|rule=zero_cell_in_center_200x200
SPAWN|index=184|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(400,0,-18)|yaw_deg=234.105|rot=(0.000000,0.890589,0.000000,-0.454809)|rule=zero_cell_in_center_200x200
SPAWN|index=185|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(305,0,19)|yaw_deg=127.649|rot=(0.000000,0.897447,0.000000,0.441122)|rule=zero_cell_in_center_200x200
SPAWN|index=186|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(342,0,9)|yaw_deg=348.569|rot=(0.000000,0.099585,0.000000,-0.995029)|rule=zero_cell_in_center_200x200
SPAWN|index=187|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(305,0,92)|yaw_deg=34.376|rot=(0.000000,0.295504,0.000000,0.955342)|rule=zero_cell_in_center_200x200
SPAWN|index=188|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(337,0,74)|yaw_deg=13.300|rot=(0.000000,0.115804,0.000000,0.993272)|rule=zero_cell_in_center_200x200
SPAWN|index=189|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(468,0,70)|yaw_deg=347.772|rot=(0.000000,0.106510,0.000000,-0.994312)|rule=zero_cell_in_center_200x200
SPAWN|index=190|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(487,0,-68)|yaw_deg=42.904|rot=(0.000000,0.365724,0.000000,0.930723)|rule=zero_cell_in_center_200x200
SPAWN|index=191|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(468,0,-2)|yaw_deg=16.151|rot=(0.000000,0.140478,0.000000,0.990084)|rule=zero_cell_in_center_200x200
SPAWN|index=192|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(467,0,-44)|yaw_deg=181.170|rot=(0.000000,0.999948,0.000000,-0.010211)|rule=zero_cell_in_center_200x200
SPAWN|index=193|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(494,0,-51)|yaw_deg=189.618|rot=(0.000000,0.996479,0.000000,-0.083838)|rule=zero_cell_in_center_200x200
SPAWN|index=194|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(329,0,68)|yaw_deg=91.229|rot=(0.000000,0.714650,0.000000,0.699483)|rule=zero_cell_in_center_200x200
SPAWN|index=195|type="BowMan"|mega_id=3|mega=(2,0)|pos=(323,0,-6)|yaw_deg=284.501|rot=(0.000000,0.612209,0.000000,-0.790696)|rule=zero_cell_in_center_200x200
SPAWN|index=196|type="BowMan"|mega_id=3|mega=(2,0)|pos=(395,0,40)|yaw_deg=48.188|rot=(0.000000,0.408238,0.000000,0.912876)|rule=zero_cell_in_center_200x200
SPAWN|index=197|type="BowMan"|mega_id=3|mega=(2,0)|pos=(483,0,-46)|yaw_deg=244.445|rot=(0.000000,0.845984,0.000000,-0.533208)|rule=zero_cell_in_center_200x200
SPAWN|index=198|type="BowMan"|mega_id=3|mega=(2,0)|pos=(460,0,70)|yaw_deg=188.650|rot=(0.000000,0.997152,0.000000,-0.075412)|rule=zero_cell_in_center_200x200
SPAWN|index=199|type="BowMan"|mega_id=3|mega=(2,0)|pos=(468,0,51)|yaw_deg=339.074|rot=(0.000000,0.181601,0.000000,-0.983372)|rule=zero_cell_in_center_200x200
SPAWN|index=200|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(328,0,-99)|yaw_deg=141.240|rot=(0.000000,0.943338,0.000000,0.331833)|rule=zero_cell_in_center_200x200
SPAWN|index=201|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(385,0,75)|yaw_deg=216.960|rot=(0.000000,0.948435,0.000000,-0.316972)|rule=zero_cell_in_center_200x200
SPAWN|index=202|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(497,0,75)|yaw_deg=245.722|rot=(0.000000,0.839988,0.000000,-0.542605)|rule=zero_cell_in_center_200x200
SPAWN|index=203|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(421,0,-51)|yaw_deg=347.637|rot=(0.000000,0.107683,0.000000,-0.994185)|rule=zero_cell_in_center_200x200
SPAWN|index=204|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(335,0,72)|yaw_deg=176.091|rot=(0.000000,0.999418,0.000000,0.034104)|rule=zero_cell_in_center_200x200
SPAWN|index=205|type="Boss"|mega_id=5|mega=(1,1)|pos=(0,0,400)|yaw_deg=313.002|rot=(0.000000,0.398732,0.000000,-0.917067)|rule=boss_center_ignore_occupancy
SPAWN|index=206|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(382,0,343)|yaw_deg=1.538|rot=(0.000000,0.013425,0.000000,0.999910)|rule=zero_cell_in_center_200x200
SPAWN|index=207|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(440,0,303)|yaw_deg=352.580|rot=(0.000000,0.064705,0.000000,-0.997904)|rule=zero_cell_in_center_200x200
SPAWN|index=208|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(401,0,419)|yaw_deg=256.497|rot=(0.000000,0.785335,0.000000,-0.619072)|rule=zero_cell_in_center_200x200
SPAWN|index=209|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(476,0,356)|yaw_deg=188.729|rot=(0.000000,0.997100,0.000000,-0.076099)|rule=zero_cell_in_center_200x200
SPAWN|index=210|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(342,0,426)|yaw_deg=254.522|rot=(0.000000,0.795887,0.000000,-0.605446)|rule=zero_cell_in_center_200x200
SPAWN|index=211|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(492,0,380)|yaw_deg=193.918|rot=(0.000000,0.992633,0.000000,-0.121159)|rule=zero_cell_in_center_200x200
SPAWN|index=212|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(419,0,459)|yaw_deg=42.389|rot=(0.000000,0.361531,0.000000,0.932360)|rule=zero_cell_in_center_200x200
SPAWN|index=213|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(490,0,429)|yaw_deg=278.350|rot=(0.000000,0.653753,0.000000,-0.756708)|rule=zero_cell_in_center_200x200
SPAWN|index=214|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(387,0,391)|yaw_deg=266.844|rot=(0.000000,0.726309,0.000000,-0.687368)|rule=zero_cell_in_center_200x200
SPAWN|index=215|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(448,0,326)|yaw_deg=272.420|rot=(0.000000,0.692020,0.000000,-0.721878)|rule=zero_cell_in_center_200x200
SPAWN|index=216|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(310,0,391)|yaw_deg=136.516|rot=(0.000000,0.928862,0.000000,0.370427)|rule=zero_cell_in_center_200x200
SPAWN|index=217|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(349,0,361)|yaw_deg=33.393|rot=(0.000000,0.287304,0.000000,0.957839)|rule=zero_cell_in_center_200x200
SPAWN|index=218|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(369,0,414)|yaw_deg=9.032|rot=(0.000000,0.078739,0.000000,0.996895)|rule=zero_cell_in_center_200x200
SPAWN|index=219|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(476,0,302)|yaw_deg=213.420|rot=(0.000000,0.957771,0.000000,-0.287531)|rule=zero_cell_in_center_200x200
SPAWN|index=220|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(362,0,363)|yaw_deg=3.461|rot=(0.000000,0.030201,0.000000,0.999544)|rule=zero_cell_in_center_200x200
SPAWN|index=221|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(457,0,349)|yaw_deg=300.122|rot=(0.000000,0.499081,0.000000,-0.866556)|rule=zero_cell_in_center_200x200
SPAWN|index=222|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(448,0,470)|yaw_deg=199.517|rot=(0.000000,0.985531,0.000000,-0.169495)|rule=zero_cell_in_center_200x200
SPAWN|index=223|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(433,0,388)|yaw_deg=235.801|rot=(0.000000,0.883762,0.000000,-0.467937)|rule=zero_cell_in_center_200x200
SPAWN|index=224|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(314,0,356)|yaw_deg=300.119|rot=(0.000000,0.499101,0.000000,-0.866544)|rule=zero_cell_in_center_200x200
SPAWN|index=225|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(355,0,490)|yaw_deg=79.815|rot=(0.000000,0.641552,0.000000,0.767080)|rule=zero_cell_in_center_200x200
SPAWN|index=226|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(427,0,426)|yaw_deg=114.356|rot=(0.000000,0.840361,0.000000,0.542027)|rule=zero_cell_in_center_200x200
SPAWN|index=227|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(393,0,437)|yaw_deg=161.632|rot=(0.000000,0.987181,0.000000,0.159607)|rule=zero_cell_in_center_200x200
SPAWN|index=228|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(491,0,356)|yaw_deg=150.360|rot=(0.000000,0.966734,0.000000,0.255783)|rule=zero_cell_in_center_200x200
SPAWN|index=229|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(465,0,498)|yaw_deg=128.990|rot=(0.000000,0.902549,0.000000,0.430587)|rule=zero_cell_in_center_200x200
SPAWN|index=230|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(303,0,332)|yaw_deg=125.512|rot=(0.000000,0.889066,0.000000,0.457779)|rule=zero_cell_in_center_200x200
SPAWN|index=231|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(363,0,410)|yaw_deg=92.508|rot=(0.000000,0.722410,0.000000,0.691464)|rule=zero_cell_in_center_200x200
SPAWN|index=232|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(438,0,381)|yaw_deg=266.721|rot=(0.000000,0.727050,0.000000,-0.686584)|rule=zero_cell_in_center_200x200
SPAWN|index=233|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(496,0,446)|yaw_deg=358.620|rot=(0.000000,0.012043,0.000000,-0.999927)|rule=zero_cell_in_center_200x200
SPAWN|index=234|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(476,0,447)|yaw_deg=105.283|rot=(0.000000,0.794856,0.000000,0.606799)|rule=zero_cell_in_center_200x200
SPAWN|index=235|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(360,0,422)|yaw_deg=182.032|rot=(0.000000,0.999843,0.000000,-0.017729)|rule=zero_cell_in_center_200x200
SPAWN|index=236|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(397,0,397)|yaw_deg=65.938|rot=(0.000000,0.544187,0.000000,0.838964)|rule=zero_cell_in_center_200x200
SPAWN|index=237|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(321,0,449)|yaw_deg=246.346|rot=(0.000000,0.837025,0.000000,-0.547165)|rule=zero_cell_in_center_200x200
SPAWN|index=238|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(381,0,387)|yaw_deg=209.644|rot=(0.000000,0.966724,0.000000,-0.255820)|rule=zero_cell_in_center_200x200
SPAWN|index=239|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(495,0,310)|yaw_deg=195.981|rot=(0.000000,0.990291,0.000000,-0.139012)|rule=zero_cell_in_center_200x200
SPAWN|index=240|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(408,0,328)|yaw_deg=8.246|rot=(0.000000,0.071896,0.000000,0.997412)|rule=zero_cell_in_center_200x200
SPAWN|index=241|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(376,0,407)|yaw_deg=333.200|rot=(0.000000,0.231748,0.000000,-0.972776)|rule=zero_cell_in_center_200x200
SPAWN|index=242|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(469,0,430)|yaw_deg=104.624|rot=(0.000000,0.791351,0.000000,0.611362)|rule=zero_cell_in_center_200x200
SPAWN|index=243|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(374,0,321)|yaw_deg=337.262|rot=(0.000000,0.197124,0.000000,-0.980378)|rule=zero_cell_in_center_200x200
SPAWN|index=244|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(390,0,356)|yaw_deg=9.339|rot=(0.000000,0.081404,0.000000,0.996681)|rule=zero_cell_in_center_200x200
SPAWN|index=245|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(310,0,466)|yaw_deg=143.080|rot=(0.000000,0.948544,0.000000,0.316646)|rule=zero_cell_in_center_200x200
SPAWN|index=246|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(445,0,461)|yaw_deg=62.730|rot=(0.000000,0.520487,0.000000,0.853869)|rule=zero_cell_in_center_200x200
SPAWN|index=247|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(494,0,360)|yaw_deg=341.935|rot=(0.000000,0.156996,0.000000,-0.987599)|rule=zero_cell_in_center_200x200
SPAWN|index=248|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(406,0,415)|yaw_deg=5.521|rot=(0.000000,0.048161,0.000000,0.998840)|rule=zero_cell_in_center_200x200
SPAWN|index=249|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(354,0,402)|yaw_deg=21.310|rot=(0.000000,0.184891,0.000000,0.982759)|rule=zero_cell_in_center_200x200
SPAWN|index=250|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(434,0,361)|yaw_deg=195.675|rot=(0.000000,0.990659,0.000000,-0.136366)|rule=zero_cell_in_center_200x200
SPAWN|index=251|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(481,0,468)|yaw_deg=29.125|rot=(0.000000,0.251433,0.000000,0.967875)|rule=zero_cell_in_center_200x200
SPAWN|index=252|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(434,0,389)|yaw_deg=88.947|rot=(0.000000,0.700579,0.000000,0.713575)|rule=zero_cell_in_center_200x200
SPAWN|index=253|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(475,0,403)|yaw_deg=0.966|rot=(0.000000,0.008432,0.000000,0.999964)|rule=zero_cell_in_center_200x200
SPAWN|index=254|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(449,0,483)|yaw_deg=0.072|rot=(0.000000,0.000627,0.000000,1.000000)|rule=zero_cell_in_center_200x200
SPAWN|index=255|type="Ghoul"|mega_id=6|mega=(2,1)|pos=(485,0,390)|yaw_deg=167.205|rot=(0.000000,0.993773,0.000000,0.111423)|rule=zero_cell_in_center_200x200
SPAWN|index=256|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(496,0,489)|yaw_deg=328.959|rot=(0.000000,0.267579,0.000000,-0.963536)|rule=zero_cell_in_center_200x200
SPAWN|index=257|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(366,0,373)|yaw_deg=216.341|rot=(0.000000,0.950132,0.000000,-0.311848)|rule=zero_cell_in_center_200x200
SPAWN|index=258|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(464,0,496)|yaw_deg=173.105|rot=(0.000000,0.998190,0.000000,0.060136)|rule=zero_cell_in_center_200x200
SPAWN|index=259|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(329,0,462)|yaw_deg=8.862|rot=(0.000000,0.077256,0.000000,0.997011)|rule=zero_cell_in_center_200x200
SPAWN|index=260|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(400,0,431)|yaw_deg=138.254|rot=(0.000000,0.934371,0.000000,0.356301)|rule=zero_cell_in_center_200x200
SPAWN|index=261|type="SwordMan"|mega_id=6|mega=(2,1)|pos=(342,0,392)|yaw_deg=13.772|rot=(0.000000,0.119897,0.000000,0.992786)|rule=zero_cell_in_center_200x200
